1.100000e+02 2.532339e+01 9.917123e+00 3.472497e+00 1.555721e+00 9.742862e-01 9.957889e-01 2.439506e+00 
1.120000e+02 3.195562e+01 1.178381e+01 4.111766e+00 1.807731e+00 1.119627e+00 1.071644e+00 2.476696e+00 
1.140000e+02 3.248060e+01 1.214669e+01 4.261542e+00 1.859100e+00 1.127879e+00 1.081398e+00 2.495217e+00 
1.160000e+02 3.683972e+01 1.363130e+01 4.785090e+00 2.060818e+00 1.205719e+00 1.123033e+00 2.524826e+00 
1.180000e+02 4.053499e+01 1.492296e+01 5.135356e+00 2.196410e+00 1.285789e+00 1.152019e+00 2.554674e+00 
1.200000e+02 4.335348e+01 1.623566e+01 5.555401e+00 2.346691e+00 1.330727e+00 1.183877e+00 2.573299e+00 
1.220000e+02 4.627808e+01 1.660958e+01 5.691016e+00 2.464080e+00 1.365715e+00 1.213108e+00 2.581354e+00 
1.240000e+02 4.796619e+01 1.770885e+01 6.048759e+00 2.486485e+00 1.398159e+00 1.227820e+00 2.593917e+00 
1.260000e+02 4.992525e+01 1.850282e+01 6.337300e+00 2.684936e+00 1.425227e+00 1.262496e+00 2.625843e+00 
1.280000e+02 5.486021e+01 2.019861e+01 6.838124e+00 2.852699e+00 1.491052e+00 1.289947e+00 2.637933e+00 
1.300000e+02 5.543933e+01 2.058357e+01 6.889526e+00 2.917651e+00 1.576500e+00 1.320374e+00 2.653865e+00 
1.320000e+02 5.922552e+01 2.115213e+01 7.034162e+00 3.001847e+00 1.609860e+00 1.344612e+00 2.691122e+00 
1.340000e+02 6.221706e+01 2.236164e+01 7.466454e+00 3.136182e+00 1.665986e+00 1.364251e+00 2.700031e+00 
1.360000e+02 6.510470e+01 2.352414e+01 7.785379e+00 3.237620e+00 1.706572e+00 1.406646e+00 2.722133e+00 
1.380000e+02 6.869899e+01 2.493708e+01 8.437414e+00 3.511029e+00 1.781501e+00 1.439485e+00 2.740790e+00 
1.400000e+02 7.234645e+01 2.595228e+01 8.844890e+00 3.595990e+00 1.869783e+00 1.466933e+00 2.770948e+00 
1.420000e+02 7.568715e+01 2.795134e+01 9.017305e+00 3.715101e+00 1.927842e+00 1.503092e+00 2.810187e+00 
1.440000e+02 7.981292e+01 2.887534e+01 9.574957e+00 3.958487e+00 2.015901e+00 1.544837e+00 2.825353e+00 
1.460000e+02 8.364250e+01 3.048945e+01 1.010938e+01 4.127569e+00 2.075059e+00 1.588867e+00 2.845976e+00 
1.480000e+02 9.210356e+01 3.281072e+01 1.069705e+01 4.331454e+00 2.152721e+00 1.636154e+00 2.902063e+00 
1.500000e+02 1.024823e+02 3.445396e+01 1.171204e+01 4.584484e+00 2.281112e+00 1.689166e+00 2.924715e+00 
1.520000e+02 1.047554e+02 3.751302e+01 1.227006e+01 4.799317e+00 2.348615e+00 1.712802e+00 2.949116e+00 
1.540000e+02 1.053434e+02 3.756177e+01 1.233210e+01 4.994036e+00 2.406625e+00 1.748516e+00 2.958050e+00 
1.560000e+02 1.054984e+02 3.769211e+01 1.243724e+01 4.977169e+00 2.380243e+00 1.754818e+00 2.963856e+00 
1.580000e+02 1.089953e+02 3.904748e+01 1.297265e+01 5.120815e+00 2.171919e+00 1.801965e+00 3.009931e+00 
1.600000e+02 1.111340e+02 4.032199e+01 1.328478e+01 5.277196e+00 2.526349e+00 1.814302e+00 3.017167e+00 
1.620000e+02 1.185953e+02 4.204775e+01 1.375186e+01 5.416197e+00 2.577032e+00 1.831679e+00 3.044804e+00 
1.640000e+02 1.171463e+02 4.226549e+01 1.375179e+01 5.441083e+00 2.571495e+00 1.835684e+00 3.047801e+00 
1.660000e+02 1.200626e+02 4.249571e+01 1.400266e+01 5.478731e+00 2.607388e+00 1.882720e+00 3.071801e+00 
1.680000e+02 1.259536e+02 4.453257e+01 1.455996e+01 5.742325e+00 2.675458e+00 1.890852e+00 3.077432e+00 
1.700000e+02 1.323644e+02 4.654225e+01 1.529307e+01 5.961382e+00 2.748300e+00 1.932454e+00 3.117445e+00 
1.720000e+02 1.356473e+02 4.738447e+01 1.549119e+01 6.047633e+00 2.827598e+00 1.951792e+00 3.123748e+00 
1.740000e+02 1.370371e+02 4.911735e+01 1.583639e+01 6.221097e+00 2.820046e+00 1.963204e+00 3.144596e+00 
1.760000e+02 1.358209e+02 4.894312e+01 1.600384e+01 6.208865e+00 2.834825e+00 1.967609e+00 3.141753e+00 
1.780000e+02 1.422805e+02 5.028640e+01 1.651163e+01 6.467347e+00 2.907227e+00 2.002705e+00 3.166859e+00 
1.800000e+02 1.447389e+02 5.125763e+01 1.690013e+01 6.525900e+00 2.920030e+00 2.007783e+00 3.175972e+00 
1.820000e+02 1.542947e+02 5.576108e+01 1.812625e+01 6.971124e+00 3.064975e+00 2.073707e+00 3.197696e+00 
1.840000e+02 1.548697e+02 5.579747e+01 1.831114e+01 7.083564e+00 3.120582e+00 2.080396e+00 3.209416e+00 
1.860000e+02 1.609495e+02 5.837935e+01 1.917960e+01 7.268643e+00 3.218307e+00 2.124701e+00 3.238131e+00 
1.880000e+02 1.596660e+02 5.762037e+01 1.921862e+01 7.338483e+00 3.270890e+00 2.127768e+00 3.253638e+00 
1.900000e+02 1.671380e+02 6.187430e+01 2.040631e+01 7.879913e+00 3.343093e+00 2.170867e+00 3.252175e+00 
1.920000e+02 1.787892e+02 6.532671e+01 2.147029e+01 8.266844e+00 3.490033e+00 2.230490e+00 3.297796e+00 
1.940000e+02 1.702647e+02 6.373566e+01 2.189058e+01 8.343684e+00 3.523388e+00 2.259632e+00 3.322900e+00 
1.960000e+02 1.787033e+02 6.917652e+01 2.370317e+01 9.116500e+00 3.769658e+00 2.324838e+00 3.334624e+00 
1.980000e+02 1.719274e+02 6.601995e+01 2.343036e+01 9.190570e+00 3.797813e+00 2.345965e+00 3.353172e+00 
2.000000e+02 1.893822e+02 7.100226e+01 2.544647e+01 1.005585e+01 4.084457e+00 2.453596e+00 3.387962e+00 
2.020000e+02 1.926652e+02 7.330613e+01 2.690162e+01 1.057944e+01 4.257984e+00 2.523505e+00 3.435832e+00 
2.040000e+02 1.785049e+02 7.020014e+01 2.671802e+01 1.079251e+01 4.361126e+00 2.550928e+00 3.444018e+00 
2.060000e+02 1.928753e+02 7.213887e+01 2.818298e+01 1.171894e+01 4.669128e+00 2.658831e+00 3.491618e+00 
2.080000e+02 2.004016e+02 7.454772e+01 2.998850e+01 1.266935e+01 5.071892e+00 2.830025e+00 3.566801e+00 
2.100000e+02 1.935650e+02 7.305644e+01 3.030080e+01 1.315765e+01 5.395083e+00 2.930140e+00 3.591771e+00 
2.120000e+02 2.260724e+02 8.043369e+01 3.281031e+01 1.673044e+01 7.126032e+00 3.618309e+00 3.863870e+00 
2.140000e+02 2.395649e+02 8.434414e+01 3.424381e+01 1.798788e+01 7.858650e+00 3.916118e+00 3.963120e+00 
2.160000e+02 2.625548e+02 9.181663e+01 3.526941e+01 1.929151e+01 8.600297e+00 4.251274e+00 4.085647e+00 
2.180000e+02 2.381596e+02 8.419426e+01 3.234830e+01 1.907043e+01 9.113837e+00 4.481849e+00 4.177624e+00 
2.200000e+02 2.513864e+02 8.677786e+01 3.277535e+01 1.955172e+01 9.915454e+00 4.852433e+00 4.318760e+00 
2.220000e+02 2.535930e+02 8.783676e+01 3.294803e+01 1.988741e+01 1.080262e+01 5.296161e+00 4.466880e+00 
2.240000e+02 2.612438e+02 9.151254e+01 3.307267e+01 2.007707e+01 1.168123e+01 5.797788e+00 4.651110e+00 
2.260000e+02 2.844694e+02 9.830933e+01 3.440225e+01 2.032786e+01 1.259536e+01 6.336084e+00 4.842482e+00 
2.280000e+02 2.637544e+02 9.227176e+01 3.254835e+01 1.930731e+01 1.324084e+01 6.828281e+00 5.031295e+00 
2.300000e+02 2.785400e+02 9.542710e+01 3.307047e+01 1.905933e+01 1.393895e+01 7.471116e+00 5.291979e+00 
2.320000e+02 2.839365e+02 9.736210e+01 3.319937e+01 1.856212e+01 1.455330e+01 8.160436e+00 5.587717e+00 
2.340000e+02 2.883816e+02 9.648035e+01 3.260704e+01 1.755805e+01 1.481200e+01 8.827817e+00 5.887998e+00 
2.360000e+02 2.720411e+02 9.711386e+01 3.143385e+01 1.658538e+01 1.493284e+01 9.543380e+00 6.235587e+00 
2.380000e+02 2.909171e+02 9.953405e+01 3.276991e+01 1.663948e+01 1.498493e+01 1.032396e+01 6.627038e+00 
2.400000e+02 2.918079e+02 9.898619e+01 3.238392e+01 1.617793e+01 1.477350e+01 1.108707e+01 7.089876e+00 
2.420000e+02 3.032454e+02 1.028381e+02 3.211488e+01 1.544534e+01 1.434294e+01 1.186201e+01 7.562242e+00 
2.440000e+02 2.724463e+02 9.707352e+01 3.131107e+01 1.459909e+01 1.365668e+01 1.243272e+01 8.072621e+00 
2.460000e+02 2.759370e+02 9.240918e+01 2.946770e+01 1.357514e+01 1.286813e+01 1.289790e+01 8.645238e+00 
2.480000e+02 2.657854e+02 9.082416e+01 2.898100e+01 1.299107e+01 1.208383e+01 1.328550e+01 9.244058e+00 
2.500000e+02 2.405061e+02 8.511142e+01 2.685199e+01 1.174411e+01 1.108785e+01 1.340324e+01 9.858214e+00 
2.520000e+02 2.718687e+02 9.224930e+01 2.881357e+01 1.221362e+01 1.071375e+01 1.357653e+01 1.057789e+01 
2.540000e+02 2.347972e+02 8.138286e+01 2.556254e+01 1.102074e+01 9.688325e+00 1.335405e+01 1.125088e+01 
2.560000e+02 2.602825e+02 8.819452e+01 2.779853e+01 1.151244e+01 9.256423e+00 1.318469e+01 1.202440e+01 
2.580000e+02 2.602995e+02 8.987083e+01 2.809999e+01 1.108429e+01 8.621611e+00 1.272243e+01 1.274974e+01 
2.600000e+02 2.476118e+02 8.731052e+01 2.742857e+01 1.090167e+01 8.106914e+00 1.226038e+01 1.342740e+01 
2.620000e+02 2.711882e+02 9.119948e+01 2.893574e+01 1.091822e+01 7.810136e+00 1.168950e+01 1.408526e+01 
2.640000e+02 2.635103e+02 8.983430e+01 2.824662e+01 1.094429e+01 7.333653e+00 1.097197e+01 1.462015e+01 
2.660000e+02 2.634710e+02 9.040848e+01 2.824952e+01 1.078468e+01 6.917374e+00 1.041197e+01 1.506293e+01 
2.680000e+02 2.946147e+02 9.631149e+01 3.093992e+01 1.131093e+01 6.920683e+00 9.815518e+00 1.541452e+01 
2.700000e+02 2.735185e+02 9.663676e+01 3.041389e+01 1.137910e+01 6.550125e+00 9.140847e+00 1.558967e+01 
2.720000e+02 2.751627e+02 9.116112e+01 2.837088e+01 1.075008e+01 6.100929e+00 8.495468e+00 1.558509e+01 
2.740000e+02 2.877195e+02 9.823470e+01 3.021315e+01 1.083239e+01 6.036370e+00 8.067710e+00 1.548501e+01 
2.760000e+02 3.191524e+02 1.092511e+02 3.373846e+01 1.220569e+01 6.144741e+00 7.603519e+00 1.525203e+01 
2.780000e+02 2.857514e+02 9.743244e+01 3.050386e+01 1.129669e+01 5.674580e+00 7.008005e+00 1.486041e+01 
2.800000e+02 3.246073e+02 1.118502e+02 3.459959e+01 1.265123e+01 5.937510e+00 6.729454e+00 1.444683e+01 
